batch	batch_id	cond
scell.nextera.1CDU_527	2	1CDU_2851	1CDU
scell.nextera.1CDU_528	2	1CDU_2851	1CDU
scell.nextera.1CDU_531	2	1CDU_2851	1CDU
scell.nextera.1CDU_532	2	1CDU_2851	1CDU
scell.nextera.1CDU_533	2	1CDU_2851	1CDU
scell.nextera.1CDU_534	2	1CDU_2851	1CDU
scell.nextera.1CDU_535	2	1CDU_2851	1CDU
scell.nextera.1CDU_536	2	1CDU_2851	1CDU
scell.nextera.1CDU_537	2	1CDU_2851	1CDU
scell.nextera.1CDU_538	2	1CDU_2851	1CDU
scell.nextera.1CDU_541	2	1CDU_2851	1CDU
scell.nextera.1CDU_542	2	1CDU_2851	1CDU
scell.nextera.1CDU_543	2	1CDU_2851	1CDU
scell.nextera.1CDU_544	2	1CDU_2851	1CDU
scell.nextera.1CDU_545	2	1CDU_2851	1CDU
scell.nextera.1CDU_546	2	1CDU_2851	1CDU
scell.nextera.1CDU_547	2	1CDU_2851	1CDU
scell.nextera.1CDU_548	2	1CDU_2851	1CDU
scell.nextera.1CDU_551	2	1CDU_2851	1CDU
scell.nextera.1CDU_552	2	1CDU_2851	1CDU
scell.nextera.1CDU_553	2	1CDU_2851	1CDU
scell.nextera.1CDU_554	2	1CDU_2851	1CDU
scell.nextera.1CDU_555	2	1CDU_2851	1CDU
scell.nextera.1CDU_556	2	1CDU_2851	1CDU
scell.nextera.1CDU_557	2	1CDU_2851	1CDU
scell.nextera.1CDU_558	2	1CDU_2851	1CDU
scell.nextera.1CDU_561	2	1CDU_2851	1CDU
scell.nextera.1CDU_562	2	1CDU_2851	1CDU
scell.nextera.1CDU_563	2	1CDU_2851	1CDU
scell.nextera.1CDU_564	2	1CDU_2851	1CDU
scell.nextera.1CDU_565	2	1CDU_2851	1CDU
scell.nextera.1CDU_566	2	1CDU_2851	1CDU
scell.nextera.1CDU_567	2	1CDU_2851	1CDU
scell.nextera.1CDU_568	2	1CDU_2851	1CDU
scell.nextera.1CDU_571	2	1CDU_2851	1CDU
scell.nextera.1CDU_572	2	1CDU_2851	1CDU
scell.nextera.1CDU_573	2	1CDU_2851	1CDU
scell.nextera.1CDU_574	2	1CDU_2851	1CDU
scell.nextera.1CDU_575	2	1CDU_2851	1CDU
scell.nextera.1CDU_576	2	1CDU_2851	1CDU
scell.nextera.1CDU_577	2	1CDU_2851	1CDU
scell.nextera.1CDU_578	2	1CDU_2851	1CDU
scell.nextera.1CDU_581	2	1CDU_2851	1CDU
scell.nextera.1CDU_582	2	1CDU_2851	1CDU
scell.nextera.1CDU_583	2	1CDU_2851	1CDU
scell.nextera.1CDU_584	2	1CDU_2851	1CDU
scell.nextera.1CDU_585	2	1CDU_2851	1CDU
scell.nextera.1CDU_586	2	1CDU_2851	1CDU
scell.nextera.1CDU_587	2	1CDU_2851	1CDU
scell.nextera.1CDU_588	2	1CDU_2851	1CDU
scell.nextera.1CDU_591	2	1CDU_2851	1CDU
scell.nextera.1CDU_592	2	1CDU_2851	1CDU
scell.nextera.1CDU_593	2	1CDU_2851	1CDU
scell.nextera.1CDU_594	2	1CDU_2851	1CDU
scell.nextera.1CDU_595	2	1CDU_2851	1CDU
scell.nextera.1CDU_596	2	1CDU_2851	1CDU
scell.nextera.1CDU_597	2	1CDU_2851	1CDU
scell.nextera.1CDU_598	2	1CDU_2851	1CDU
scell.nextera.1CDU_601	2	1CDU_2851	1CDU
scell.nextera.1CDU_602	2	1CDU_2851	1CDU
scell.nextera.1CDU_603	2	1CDU_2851	1CDU
